label,text
0,me spam is the tool for dissident news since the fact that it's unsolicited means that recipients can't be blamed for being on a mailing list russell turpin that depends on how the list is collected or even on what the senders say about how the list is collected better to just put it on a website and that way it can be surfed anonymously and it doesn't clutter my inbox it doesn't work that way a website is opt in spam is no opt if you visit a samizdat site you can get in trouble if you get samizdat spam the worst that can be said is that you might have read it and as long as the mailers send to individuals who clearly didn't opt in like party officials then other recipients can't get in trouble for requesting the mail plus it's much harder to block spam than web sites but this shouldn't come as a surprize spam is speech it may be sleazy but so what lucas http xent com mailman listinfo fork
0,escapenumber escapenumber escapenumber penguinreport career services from lockergnome and dice com we've teamed up with dice com to bring you a full service i t career enhancement solution whether you are looking for your dream job or trying to hire talented people the full featured career resource center is the place to start find your it talent solution today i don't usually spend much time explaining metaphors they are after all metaphorical they can be filled with whatever symbolism you choose written well we all come to some similar understanding of their meaning but i'll depart today contrary to my normal practice to take a few minutes explaining a recent metaphor i'm a linux guy through and through as a user i see myself as right about at the average on the curve for love of the language and open source attitude though you'd be hard pressed to find anyone with quite the same level of enthusiasm put simply there's very little about the linux and broader open source worlds that i don't like or believe in take for example the practice of recursive acronyms gnu gnu's not unix hurd herd of unix replacing daemons wine wine is not an emulator even php php hypertext processor all carry on the tradition of recursion in the unix linux world goofy as it sounds i love this stuff so it is that i set out to create a recursive metaphor last week it could only have happened on or about the escapenumberth of july in fact it happened in the edition of the escapenumberrd i wrote a piece about how we americans spend more time over the course of a year talking about what's wrong with our system than what's right i wrote it knowing full well that many of the responses i'd get would be a from readers outside the us and b in sharp disagreement to my comments or those of citizens of other countries you're following me right people would disagree with an article that said we spend much time disagreeing this of course would prove my point in a somewhat metaphorical way the perfect recursive metaphor the point was to be made yet more perfectly by the eventual inclusion in penguin shell of the comments of someone from outside the us disagreeing with my take our argumentativeness as americans ideally they would be comments that disagreed with our collective american perception of being disagreeable they would of course point out things about which citizens of other countries can disagree with americans on by exercising the right to disagree we'd subtly agree that we have that right yet another level of recursion and a final layer of metaphor the response to both my own and johan sauviller's comments was overwhelming in the main i believe both were appreciated many commented on the balance of the two pieces some readers were surprised i think to see a dissenting opinion published so quickly if at all overall the ability to express honestly held opinions to agree and to disagree on a global level closed the circle on the metaphor in a perfect way things have however gotten a bit more ugly in the past few days i'm not sure whether some were slow in getting to the july escapenumberrd issue or whether it's just been stewing since then take for instance these comments by a reader who will remain mercifully nameless we get enough america bashing from our left wing whacko extremist press and schools here in the usa that we don't wish to hear some insert favorite adjective here from belgium whining too followed by please don't let tony single handedly tarnish the fine reputation of lockergnome i'm sure there are other articulate linux experts out there who would be able to replace him and in a later note on the topic censorship is to be encouraged in a free market society whenever and wherever it doesn't come from the government clearly the metaphor just whizzed right over the heads of some chris has been great about allowing all his authors plenty of room in the editorial piece at the beginning of each newsletter this particular piece is no exception he's shown a quiet confidence in the face of some very shrill comments while we all generally stay focused on technical issues chris has shown unwavering support for the notion that we geeks are in the end humans with opinions and thoughts to share i think it's one of the things that makes the lockergnome newsletters stand out from the pack the personal touch so despite the irrationality of some of this week's comments i'll continue to occasionally throw in a personal aside with the technical stuff just watch out recursive metaphors are only funny until someone puts an eye out tony steidler dennison gnometweak lockergnome readers save escapenumber on the computing encyclopedia are you looking for the ultimate computing resource discover the computing encyclopedia from smart computing regular price escapenumber special offer for lockergnome readers get your set today only escapenumber escapenumber win apps in linux yesterday i mentioned an interesting review of two products for linux by codeweavers crossover office and crossover plugin you've probably heard of both by now as they've garnered quite a bit of publicity both in and out of the linux world you'll recall that i promised to try to secure copies for review this week with the help of a friendly sales rep at codeweavers i was able to accomplish that task this morning true to the second half of the promise we'll spend the next few days looking at these two products and how they might impact your linux use let's take them in chronological order starting today with crossover plugin a bit of background is in order codeweavers is in their own words the leading corporate backer of the wine project wine has been for the past several years an ongoing project to port windows applications to linux it's a tough goal but it's also one that's been undertaken by others in the past year or so though the progress has been slow the wine project has managed to stay at the front of this development realm crossover plugin marks a change in the philosophy of the wine project prior to its release wine had taken a full system approach running windows applications in wine required the installation of a sizeable daemon and no small amount of configuration work crossover plugin has moved wine away from the system wide approach to one that's much more modular rather than executing at system startup wine is called as needed with the virtual windows path to the called program when the program is closed so is wine crossover plugin has focused on creating linux functionality with one related set of windows applications browser plugins the results stand as a clear indication that the change in philosophy is a success off the top crossover plugin bundles quicktime escapenumber windows media player escapenumber escapenumber shockwave escapenumber escapenumber flash escapenumber and realplayer escapenumber into a linux accesible browser plugin package throw in more esoteric apps like ipix trillian authorware web player escapenumber and efax messenger escapenumber and you've got virtually every need plugin need covered but this package doesn't stop there included in the crossover plugin package are viewers for word excel and powerpoint as well as several microsoft oriented fonts honestly i was stunned at the range of applications offered by the codeweavers developers having had some experience with wine i was a bit leery about the install process and about the ability to get all these great applications to work with my redhat setup i've never been completely successful with wine but i hoped for the best when i started the crossover plugin installation i really did want these apps to work the installation was quite easy by running the install crossover sh script from the command line i was able to install the installers for both crossover plugin and crossover office which we'll talk about tomorrow i started the plugin installs with quicktime a tool i've admittedly missed in linux in the background crossover plugin had already created a virtual c \\ drive on my machine i clicked on the quicktime install and immediately saw a familiar sight the vise installer in its windows format crossover plugin first checked for feedback from the windows binary opened a virtual windows window then stepped out while the vise installer took care of the rest though the install failed four times it appeared to be a server failure rather than a failure of the crossover program i kept retry ing and with some persistence managed to get a full quicktime escapenumber install downloaded from the apple servers quite literally the install looked and performed exactly as i've seem many times in windows when the install was completed crossover again checked for the windows binary located the appropriate dll files in the virtual c \\ drive and dropped the plugins into the home tony netscape plugins and home tony mozilla plugins directories the process was so smooth that i had to check the plugin listings in these browsers help about plugins sure enough the crossover quicktime plugin was listed quickly i ran out to the apple site and opened the men in black ii movie trailer quicktime performed flawlessly i followed with the windows media player shockwave flash ipix and efax messenger installs of those the only ones that weren't self contained in the crossover install were ipix and efax even at that the installer pointed me to the windows download then found the exe file when the download was done within a half hour i had all installed and tested then just for grins i installed realplayer escapenumber via crossover this was despite the recommendation in the installer screen to use the linux version it went as smoothly as the others with one caveat the player played media files at a much faster speed than that in windows fast enough to make me laugh in fact reminded of dave and alvin the chipmunk ah well six out of seven is pretty strong given my previous troubles with wine i also installed a few fonts arial times new roman trebuchet and veranda in every case the install was quick and absolutely painless wine has always held great promise at times it's been painful to watch the tedious pace of development only because that promise was so alluring with the backing of codeweavers and a fundamental change in the approach to development wine has finally realized the goal of integrating windows applications seamlessly into the stable linux environment the results are so strong that if i didn't know better i'd swear that a few of these plugins actually run better in linux than in their native windows honestly i didn't realize how much i missed them until i started using them in linux today tomorrow holds a few surpirses with a look at codeweavers' crossover office package recommend it send us a gnometweak gnomecore kernel configuration part ix we're nine parts into the kernel configuration series with quite a bit yet to go if you haven't been following along we're breaking out the configuration screens one at a time in an attempt to shed some light on the purpose and function of each with that knowledge you should be able to make a clear decision as to how to configure each section today it's the parallel port support section this is pretty simple if you need parallel port support such as for a printer select this option either as a driver built into the kernel or as a loadable module most will use the pc style hardware option in conjuction with a windows printer but that's not all the parallel port can be used for as an example the builds i did with the telescope company required parallel port support as the telescope cameras were attached to this port be aware this kernel configuration option only makes a driver available for the parallel port the computer's bios sets the mode for the port ecp epp or auto on the majority of modern computers the auto mode is the default and will work just fine however if you have problems communicating with your printer following a kernel recompile try changing the mode of your printer in the bios tomorrow it's plug and play configuration recommend it send us a gnomecore tip gnomefile netics escapenumber escapenumber http www citi umich edu u marius netics netics is an extensible network statistics collector it puts the network interface in promiscuous mode and reads the data stream after it strips off the appropriate protocol headers then displays the results at specified intervals either in a progress bar mode or as raw statistics currently it supports escapenumber statistics both involving entropy lzw compressability and ueli maurer's universal statistical test maurer's test is a very good and comprehensive measure of entropy but requires a large amount of data the lzw statistic requires much less data recommend it send us a gnomefile suggestion gnomevoice helping hand scribbled by karl steenblik dear linux community at lockergnome i am the web master for largest health care camp in the state of utah no not cancer camp it is the diabetic camp the foundation for children and youth with diabetes serves about escapenumber diabetic children a year and their families we have education family support diet planning and most important is camp the place where kids can learn about how to better manage their disease we are a totally non profit camp that puts all money from fees into our camp we pay no salaries to physicians dietitians social workers nurses and educators that make our camp possible yes even me the lowly web master donates his time and web space at att to the cause att recently decided to pull access to our photo page due to a password protection we give out a password to all parents so that they can see photos of camp while the sessions are happening we do not however what the creeps of the web to have access to photos of our kids we are looking for someone in the state to help our camp by donating web space now it may not be your organization but i know linux people and lockergnome and i think someone there may know someone who would be able to help us you can still have access to the public part of our site that att has not shut down at www fcyd inc org please i have the parents of escapenumber diabetic kids wanting to see photos of their children they are all e mailing me and i have no one to turn to hoping to hear from someone soon karl r steenblik webmaster fcyd camp salt lake city help karl recommend it speak your gnomevoice gnomeclick mobilix org http mobilix org mobilix org is a full site related to using linux on mobile devices including pdas and laptops it includes information for subsctibing to the linux laptop mailing list information on linux powered wearable computers wap enabled access and linux on cell phones mobilix looks to be a great resource for all kinds of tips tricks and useful information for taking your linux on the road recommend it suggest a gnomeclick http www lockergnome com issues penguinshell escapenumber html your subscribed e mail address is qqqqqqqqqq lg spamassassin taint org to unsubscribe or change your delivery address please visit the subscription management page use of the gnome moniker by penguin shell does not imply endorsement of the gnome desktop environment penguin shell is an equal opportunity desktop employer for further information please refer to the gnomecredits in the sidebar look over here download tip ebooks latest windows daily latest digital media latest tech specialist latest penguin shell latest apple core latest web weekly latest bits bytes latest audio show low price search our tech conference microsoft office tips pc productivity tips cool internet tips windows escapenumber tips windows xp tips tell a friend about us advertise with us high tech job search chat with gnomies watch the webcams computer power user read past issues download x setup about lockergnome our privacy policy view more options our xml rss feed syndicate our tips link to lockergnome get chris's book win a digital camera general feedback chris's blog e mail the editor gnomespecials manage your workgroup form pilot say the time escapenumber escapenumber boomer stream now create web cd catalog easy web editor kleptomania tag rename pretty good solitaire visualize color combos firststop websearch ecobuilder book collector get listed here question which group is escapenumber escapenumber strong and always looking for stuff to make their personal and professional lives run smoother click here to zoom look it up byte me now ©escapenumber lockergnome llc issn escapenumber escapenumber all rights reserved please read our terms of service our web site is hosted by digitaldaze domain registered at dns central 
0,on wednesday escapenumber july escapenumber escapenumber escapenumber satelle stevenx wrote its nothing to do with irish it was the way it was tought in primary i was made to stand up in front of the class and name all the items on a projector screen my teacher knew that i didnt even know what hello was in irish still dont they tried to force me and as a result i managed to get escapenumber in the intercert and didnt even turn up for the leaving exam i dislike being forced to learn something and mostly refuse to do it i put effort into making sure i didnt learn irish my point was i knew more german after escapenumber months than escapenumber years of irish the way it is tought is wrong and people should have a choice about doing it irish is taught badly in schools but then again so is french i did escapenumber years of french in primary school and escapenumber in secondary school so that's escapenumber years of french which i guess should be long enough to be fluent in most languages as it turns out my french is crap my irish is much better the problem seems to be the braindead attempt to make people learn languages they can't speak through reading and writing and then tacking on speech as an afterthought whereas doing it the other way round would be a lot more useful i hear this complaint a lot but i never hear people complaining about being forced to learn to read and write or to do maths maybe people don't mind as much if it is perceived as a useful skill which irish is not usually perceived as anyway tir gan teanga tir gan anam nick irish linux users' group ilug linux ie http www linux ie mailman listinfo ilug for un subscription information list maintainer listmaster linux ie
0, can't think of how i'd be running afoul of the spam filters with this post so here's the second try kissinger's book does america need a foreign policy provides a few handy abstractions the ultimate dilemma of the statesman is to strike a balance between values idealism and interests realism and occasionally between peace and justice also he views historical american approaches to foreign policy as a bundle of three fibers hamiltonian we should only get involved in foreign adventures to preserve balances of power wilsonian we should only get involved in foreign adventures to further democracy etc jacksonian we should never get involved in foreign adventures unless we're attacked then we go rambo he has tactfully left out the hard realists as for the rest i gather wilsonians play the idealists and hamiltonians act where values and interests intersect and jacksonians act only when values and interests overlap kissinger himself seems to be a hamiltonian much of the book is about how he thinks we ought to be shaping the balance of power in various foreign regions maybe i've been too affected by kant but i can't see that such a strategy works unless one can count on a bismarck runnning it how lopsided does the us look if everyone tries to run a balance of power politics dave the road to empire leads to domestic decay because in time the claims of omnipotence erode domestic restraints no empire has avoided the road to caesarism unless like the british empire it devolved its power before this process could develop in long lasting empires every problem turns into a domestic issue which should be handled very differently from international ones because the outside world no longer provides a counterweight and as challenges grow more diffuse and increasingly remote from the historic domestic base internal struggles become ever more bitter and in time violent a deliberate quest for hegemony is the surest way to destroy the values that made the united states great kings and tyrants generically have followed the same power politics garner popular support by keeping potential oligarchs down in other traditions a king is a legitimate tyrant and a tyrant an illegitimate king in the us i'd hope that we like samuel wouldn't naturally make such fine distinctions 
0,forwarded by william knowles http www thesun co uk article escapenumber escapenumber escapenumber escapenumber html by paul crosbie sep escapenumber escapenumber virgin's latest airliner is being revamped after randy passengers discovered a tiny cabin was just the place to join the mile high club the £escapenumbermillion airbus escapenumber escapenumber is fitted with a escapenumberft x escapenumberft mother and baby room with a plastic table meant for changing nappies but couples keep wrecking it by sneaking in for a quick bonk virgin has replaced the table several times even though the plane only came into service a few weeks ago it is named claudia nine after sexy model claudia schiffer escapenumber who launched it in july now virgin bosses have asked airbus to build a stronger table at first german engineers responsible for the jet's interior were baffled by the problem the table is designed to take the weight of a mum and baby one airbus worker said we couldn't work it out then the penny dropped it didn't occur to the germans that this might happen it caused great amusement the firm say the cost of strengthening the tables will be about £escapenumber a virgin spokeswoman said those determined to join the mile high club will do so despite the lack of comforts we don't mind couples having a good time but this is not something that we would encourage because of air regulations the new airbus is the world's longest airliner with teasing slogan mine is bigger than yours virgin is using it on flights to the far east and the us 
0,i'm configuring this at the moment still i found out that my firewall box has a dodgy usb and so i'm awaiting a pci usb controller to finish the configuration i meant to buy one yesterday and forgot i've bought smoothwall corporate edition as its the best firewall routing solution around or so i've been led to believe will be doing nat proxy firewall maybe vpn too but we shall see cw hi all i am seriously thinking of getting the adsl solo connection from eircom i also have more than one computer therefore i need a router so that i can connect them together the escapenumber options i am looking at are the adsl usb modem connected to my linux machine with the linux machine acting as firewall and a combined router firewall box which would be connected directly to the adsl modem so my questions are what recommendations would any of you have about the above do i need to have nat i have only a vague idea of what this does what other options should i be looking at thanks con irish linux users' group ilug linux ie http www linux ie mailman listinfo ilug for un subscription information list maintainer listmaster linux ie
0,it seems that an email consisting of a single line containg a control m is detected as spam it also seems that an email consisting of escapenumber blank lines is also treated as spam efes rm f qq efes perl e 'for i escapenumber i escapenumber i print \\n ' qq efes razor check d qq tmp bar efes grep 'known spam' tmp bar aug escapenumber escapenumber escapenumber escapenumber escapenumber check escapenumber escapenumber mail escapenumber is known spam i'm running razor agents escapenumber escapenumber these examples are based on real life false positives found by my users one of the reals emails was sent by a user which wrote the real contents of the email in the subject field i thought the newer razor releases avoided these problems michael glad email glad daimi au dk this sf net email is sponsored by thinkgeek welcome to geek heaven http thinkgeek com sf razor users mailing list razor users lists sourceforge net https lists sourceforge net lists listinfo razor users
0,spam this mail is probably spam the original message has been altered spam so you can recognise or block similar unwanted mail in future spam see http spamassassin org tag for more details spam spam content analysis details escapenumber escapenumber hits escapenumber required spam invalid date escapenumber escapenumber points invalid date header not rfc escapenumber spam remove subj escapenumber escapenumber points body list removal information spam spam phrase escapenumber escapenumber escapenumber escapenumber points body spam phrases score is escapenumber to escapenumber medium spam score escapenumber spam superlong line escapenumber escapenumber points body contains a line escapenumber characters long spam msg id added by mta escapenumber escapenumber escapenumber points 'message id' was added by a relay escapenumber spam missing mimeole escapenumber escapenumber points message has x msmail priority but no x mimeole spam missing outlook name escapenumber escapenumber points message looks like outlook but isn't spam reich for governor committee newsletter sign up confirmation thank you for signing up for the reich report the weekly newsletter of the reich for governor campaign you can read our previous newsletter on our website at http robertreich org gov newsletter asp if you would like to volunteer for the campaign please contact our volunteer coordinator meg ansara at meg robertreich org or call escapenumber escapenumber escapenumber xescapenumber our headquarters is located at escapenumber mount auburn street near the star market in cambridge we are open from escapenumber am to escapenumber pm monday through thursday escapenumber am to escapenumber pm friday escapenumber am to escapenumber pm saturday and escapenumber noon to escapenumber pm on sundays we are a bus ride away from harvard square bus escapenumber or escapenumber and parking is readily available in the back of the building we encourage all reich supporters to come to the headquarters for events to volunteer for phone banking or just to see how we operate we encourage you to forward this e mail to your friends family and colleagues and ask them to sign up for our newsletter at http www robertreich org gov emailpage asp help us start a 'virtual' campaign if you do not want to receive future newsletters please send an e mail to newsletter robertreich org with 'remove' as the subject line jesse alan gordon technology director reich for governor committee jesse robertreich org reich for governor committee p o box escapenumber cambridge ma escapenumber http www robertreich org 
0,jm jmason org justin mason writes btw i tried tweaking some of the scores that lint rules complained about being negative when they shouldn't be and it ruined the results it's worth hand tweaking a bit but in some cases there's counter intuitive combinatorial effects like the above so be careful when tweaking run a logs to c evolve c to check the new hitrates afterwards my tendency is to say that we shouldn't tweak at all dan
0,on sun escapenumber escapenumber escapenumber at escapenumber escapenumber brian fahrlander wrote server problems or is this a way to limit bandwidth captain i sense a need to mirror if i wasn't on dsl i would chris rpm list mailing list http lists freshrpms net mailman listinfo rpm list
